size,params,epoch,steps,train_loss,val_loss,best_val_loss
pico,124347,1,1534,6.0309990210825335,5.519075596826316,5.519075596826316
pico,124347,2,3068,5.354255452771541,5.18087981861724,5.18087981861724
pico,124347,3,4602,5.122341811890086,5.037320975015855,5.037320975015855
pico,124347,4,6136,5.019206692684428,4.9829517370145,4.9829517370145
pico,124347,5,7670,4.957398281259052,4.9460977520463025,4.9460977520463025
pico,124347,6,9204,4.92472157018281,4.923118777529022,4.923118777529022
pico,124347,7,10738,4.885553409098957,4.9074472337079476,4.9074472337079476
pico,124347,8,12272,4.858269391501277,4.874148769491523,4.874148769491523
pico,124347,9,13806,4.831718560769629,4.852849178765652,4.852849178765652
pico,124347,10,15340,4.8025560173870225,4.837497554587189,4.837497554587189
pico,124347,11,16874,4.786747755873779,4.8529168924636386,4.837497554587189
pico,124347,12,18408,4.7658043834034745,4.7999168415746745,4.7999168415746745
pico,124347,13,19942,4.741311100968481,4.7843145054472975,4.7843145054472975
pico,124347,14,21476,4.72950139847697,4.785165460857414,4.7843145054472975
pico,124347,15,23010,4.718071955900926,4.770313844172912,4.770313844172912
pico,124347,16,24544,4.693332247193198,4.754927906058949,4.754927906058949
pico,124347,17,26078,4.678060447377052,4.7339205050609525,4.7339205050609525
pico,124347,18,27612,4.6660678772136785,4.731841039375441,4.731841039375441
pico,124347,19,29146,4.649688585174442,4.7096417048979085,4.7096417048979085
pico,124347,20,30680,4.635540992992953,4.6870835010822,4.6870835010822
pico,124347,21,32214,4.621088944016099,4.674047371339515,4.674047371339515
pico,124347,22,33748,4.610986086660134,4.676742003514216,4.674047371339515
pico,124347,23,35282,4.602265587375248,4.655848889661258,4.655848889661258
pico,124347,24,36816,4.590123898669048,4.631257263161022,4.631257263161022
pico,124347,25,38350,4.576439619375177,4.624082380497949,4.624082380497949
pico,124347,26,39884,4.567196126089879,4.631175856618486,4.624082380497949
pico,124347,27,41418,4.558902779955908,4.611133744730752,4.611133744730752
pico,124347,28,42952,4.548256050343619,4.609572176397199,4.609572176397199
pico,124347,29,44486,4.546829343308371,4.599585966245662,4.599585966245662
pico,124347,30,46020,4.52975204186769,4.596994298449634,4.596994298449634
pico,124347,31,47554,4.528173181814818,4.6113598840476495,4.596994298449634
pico,124347,32,49088,4.51418790232871,4.601553378020518,4.596994298449634
pico,124347,33,50622,4.511144696034229,4.5929060349097615,4.5929060349097615
pico,124347,34,52156,4.5031755144624075,4.558117970912414,4.558117970912414
pico,124347,35,53690,4.504337140913893,4.5795656887031875,4.558117970912414
pico,124347,36,55224,4.495305295717919,4.574161278425589,4.558117970912414
pico,124347,37,56758,4.49314949036888,4.583914720095121,4.558117970912414
pico,124347,38,58292,4.491651120055297,4.56267388473601,4.558117970912414
pico,124347,39,59826,4.490162611784805,4.565139036912185,4.558117970912414
pico,124347,40,61360,4.4694686633822505,4.5639058457323785,4.558117970912414
pico,124347,41,62894,4.479655919205567,4.543963466170272,4.543963466170272
pico,124347,42,64428,4.475414966977405,4.54386100120093,4.54386100120093
pico,124347,43,65962,4.472958992171008,4.544805347566774,4.54386100120093
pico,124347,44,67496,4.466478946000687,4.536900683972963,4.536900683972963
pico,124347,45,69030,4.459892518983515,4.54720430825589,4.536900683972963
pico,124347,46,70564,4.461628764673504,4.5343523392310505,4.5343523392310505
pico,124347,47,72098,4.449960556303817,4.5407122606356465,4.5343523392310505
pico,124347,48,73632,4.4492481724690585,4.505102103983862,4.505102103983862
pico,124347,49,75166,4.448457608633277,4.530066914812347,4.505102103983862
pico,124347,50,76700,4.450373233841171,4.502043505392131,4.502043505392131
pico,124347,51,78234,4.440981009326671,4.520827059209699,4.502043505392131
pico,124347,52,79768,4.446876196071719,4.513435710816694,4.502043505392131
pico,124347,53,81302,4.434258414371694,4.518494065696671,4.502043505392131
pico,124347,54,82836,4.434560017604405,4.504051891304332,4.502043505392131
pico,124347,55,84370,4.433720810627844,4.535712916470138,4.502043505392131
pico,124347,56,85904,4.442030069414609,4.518530360340367,4.502043505392131
pico,124347,57,87438,4.434746951292205,4.497267614454913,4.497267614454913
pico,124347,58,88972,4.432402472297092,4.515622900787895,4.497267614454913
pico,124347,59,90506,4.429234324409256,4.489755976129565,4.489755976129565
pico,124347,60,92040,4.429102318694103,4.489528418998041,4.489528418998041
pico,124347,61,93574,4.428595402094656,4.499209687554624,4.489528418998041
pico,124347,62,95108,4.422487675599666,4.49669172636856,4.489528418998041
pico,124347,63,96642,4.423434391637203,4.49327567625328,4.489528418998041
pico,124347,64,98176,4.425205336711242,4.485548149199175,4.485548149199175
pico,124347,65,99710,4.417920889102184,4.5019193429213304,4.485548149199175
pico,124347,66,101244,4.423847532645354,4.49762691266438,4.485548149199175
pico,124347,67,102778,4.415351941501612,4.4774225124946,4.4774225124946
pico,124347,68,104312,4.410928497880192,4.478376274278178,4.4774225124946
pico,124347,69,105846,4.411926787866297,4.470903589880678,4.470903589880678
pico,124347,70,107380,4.401633266986116,4.4915288891312635,4.470903589880678
pico,124347,71,108914,4.409519505469709,4.498654932665402,4.470903589880678
pico,124347,72,110448,4.413406282702201,4.478613421761778,4.470903589880678
pico,124347,73,111982,4.408830191352377,4.482448862854546,4.470903589880678
pico,124347,74,113516,4.411494605699761,4.481241258643788,4.470903589880678
pico,124347,75,115050,4.404248047838621,4.46995162681715,4.46995162681715
pico,124347,76,116584,4.400187740580821,4.489794279696674,4.46995162681715
pico,124347,77,118118,4.398616561212005,4.479583074355267,4.46995162681715
pico,124347,78,119652,4.395195686055597,4.47771267354841,4.46995162681715
pico,124347,79,121186,4.39107216539097,4.474023979796461,4.46995162681715
pico,124347,80,122720,4.3957343452757,4.4880287238126675,4.46995162681715
pico,124347,81,124254,4.39183078719864,4.463216991819573,4.463216991819573
pico,124347,82,125788,4.402632158769312,4.461277068719356,4.461277068719356
pico,124347,83,127322,4.397986120786008,4.478578227511524,4.461277068719356
pico,124347,84,128856,4.399176792184564,4.480929030469183,4.461277068719356
pico,124347,85,130390,4.395713566645805,4.482271885730811,4.461277068719356
pico,124347,86,131924,4.388367405615387,4.473909323032085,4.461277068719356
pico,124347,87,133458,4.3845970276281765,4.468455253973515,4.461277068719356
pico,124347,88,134992,4.395583782699615,4.461001602150279,4.461001602150279
pico,124347,89,136526,4.382318572705852,4.480214868071517,4.461001602150279
pico,124347,90,138060,4.385573769641513,4.444502284540933,4.444502284540933
pico,124347,91,139594,4.385925639406177,4.465700840808936,4.444502284540933
pico,124347,92,141128,4.388243111824274,4.455477457780105,4.444502284540933
pico,124347,93,142662,4.384962375036586,4.457385576688326,4.444502284540933
pico,124347,94,144196,4.376198445491716,4.463929798476089,4.444502284540933
pico,124347,95,145730,4.385838679726462,4.4650733090011325,4.444502284540933
pico,124347,96,147264,4.380852785539441,4.460602988858195,4.444502284540933
pico,124347,97,148798,4.382168820348837,4.4531504684651395,4.444502284540933
pico,124347,98,150332,4.371237552461288,4.460763148302157,4.444502284540933
pico,124347,99,151866,4.3798450166274545,4.448259898191373,4.444502284540933
pico,124347,100,153400,4.372077132918844,4.461231509609335,4.444502284540933
nano,166659,1,1534,5.9622747935403275,5.420189868768997,5.420189868768997
nano,166659,2,3068,5.22897172689127,5.116659212394579,5.116659212394579
nano,166659,3,4602,5.036386850759912,4.987398398698434,4.987398398698434
nano,166659,4,6136,4.938205977928529,4.945717329104271,4.945717329104271
nano,166659,5,7670,4.875111357018721,4.889238492976984,4.889238492976984
nano,166659,6,9204,4.831908117217222,4.838032048129471,4.838032048129471
nano,166659,7,10738,4.783969312168007,4.817312423999493,4.817312423999493
nano,166659,8,12272,4.7439073331974635,4.789553608414689,4.789553608414689
nano,166659,9,13806,4.707898135601774,4.755617322301018,4.755617322301018
nano,166659,10,15340,4.667614943978062,4.743006260437373,4.743006260437373
nano,166659,11,16874,4.653862659747784,4.714015434479572,4.714015434479572
nano,166659,12,18408,4.623560335054858,4.675965359930456,4.675965359930456
nano,166659,13,19942,4.59835584813333,4.643305865970589,4.643305865970589
nano,166659,14,21476,4.566430216817843,4.6210647151315,4.6210647151315
nano,166659,15,23010,4.541830058514372,4.611773562854563,4.611773562854563
nano,166659,16,24544,4.515916923811414,4.599235894411978,4.599235894411978
nano,166659,17,26078,4.495358673814378,4.589437295699261,4.589437295699261
nano,166659,18,27612,4.473860355834762,4.562667098976451,4.562667098976451
nano,166659,19,29146,4.454811874237956,4.553410631665112,4.553410631665112
nano,166659,20,30680,4.4502021162886045,4.536939598399506,4.536939598399506
nano,166659,21,32214,4.432803171709899,4.5400466806084445,4.536939598399506
nano,166659,22,33748,4.42167398997982,4.5371146131549365,4.536939598399506
nano,166659,23,35282,4.410123290107956,4.514952185591297,4.514952185591297
nano,166659,24,36816,4.404949310083899,4.4832995826676045,4.4832995826676045
nano,166659,25,38350,4.383222382413672,4.4925953960983005,4.4832995826676045
nano,166659,26,39884,4.384294744886973,4.477337452081533,4.477337452081533
nano,166659,27,41418,4.374239109330258,4.46497377418202,4.46497377418202
nano,166659,28,42952,4.377848643056728,4.484440835975331,4.46497377418202
nano,166659,29,44486,4.36818184784214,4.4601971976150425,4.4601971976150425
nano,166659,30,46020,4.355201355481552,4.486803905498347,4.4601971976150425
nano,166659,31,47554,4.344670081231865,4.463807594141311,4.4601971976150425
nano,166659,32,49088,4.347139358986777,4.4456990414117215,4.4456990414117215
nano,166659,33,50622,4.325881433455854,4.45116121529122,4.4456990414117215
nano,166659,34,52156,4.330242860115181,4.461888674448228,4.4456990414117215
nano,166659,35,53690,4.322729890940242,4.4470571907314325,4.4456990414117215
nano,166659,36,55224,4.319398654330974,4.435907303228886,4.435907303228886
nano,166659,37,56758,4.322185555213123,4.409420404208483,4.409420404208483
nano,166659,38,58292,4.31209507790507,4.440887614820131,4.409420404208483
nano,166659,39,59826,4.302553704074029,4.418816577753372,4.409420404208483
nano,166659,40,61360,4.298274945870839,4.408203830380412,4.408203830380412
nano,166659,41,62894,4.300014287427631,4.423413862138105,4.408203830380412
nano,166659,42,64428,4.290793307290705,4.408880551185834,4.408203830380412
nano,166659,43,65962,4.287863764178488,4.395869329836241,4.395869329836241
nano,166659,44,67496,4.282692371166981,4.415951366255269,4.395869329836241
nano,166659,45,69030,4.284570398977247,4.402171438262307,4.395869329836241
nano,166659,46,70564,4.286761057112643,4.406367948069375,4.395869329836241
nano,166659,47,72098,4.280511985857141,4.407153107005463,4.395869329836241
nano,166659,48,73632,4.2800812262755175,4.390434623469968,4.390434623469968
nano,166659,49,75166,4.272056461002245,4.417994375059591,4.390434623469968
nano,166659,50,76700,4.264050959608235,4.396873341509576,4.390434623469968
nano,166659,51,78234,4.2641473211241205,4.408526550383257,4.390434623469968
nano,166659,52,79768,4.2598920441979375,4.398901703795032,4.390434623469968
nano,166659,53,81302,4.255776343165351,4.380353385880149,4.380353385880149
nano,166659,54,82836,4.262583677585308,4.407778205250847,4.380353385880149
nano,166659,55,84370,4.252538910589752,4.381005002196724,4.380353385880149
nano,166659,56,85904,4.25023100599938,4.3928865201374485,4.380353385880149
nano,166659,57,87438,4.257208223448583,4.393751364487868,4.380353385880149
nano,166659,58,88972,4.247025232893236,4.359677409279276,4.359677409279276
nano,166659,59,90506,4.2482357879971895,4.3750497899817296,4.359677409279276
nano,166659,60,92040,4.245352063682586,4.376486374781682,4.359677409279276
nano,166659,61,93574,4.243761902993164,4.362553341148873,4.359677409279276
nano,166659,62,95108,4.251742829555328,4.372754283205292,4.359677409279276
nano,166659,63,96642,4.2382439210175535,4.3717757710338345,4.359677409279276
nano,166659,64,98176,4.240871380640599,4.380399915593616,4.359677409279276
nano,166659,65,99710,4.2356891674044235,4.348278664978298,4.348278664978298
nano,166659,66,101244,4.235391023261606,4.383728068255814,4.348278664978298
nano,166659,67,102778,4.235671213583965,4.365472325206508,4.348278664978298
nano,166659,68,104312,4.235683449710364,4.352892030625654,4.348278664978298
nano,166659,69,105846,4.234075334423369,4.366831768193894,4.348278664978298
nano,166659,70,107380,4.234762123386428,4.342882071726421,4.342882071726421
nano,166659,71,108914,4.236548887237887,4.354379250453069,4.342882071726421
nano,166659,72,110448,4.228377543962919,4.328412666828675,4.328412666828675
nano,166659,73,111982,4.2215960843311295,4.365784305087208,4.328412666828675
nano,166659,74,113516,4.229092265045783,4.355945217538867,4.328412666828675
nano,166659,75,115050,4.22273980933964,4.346325451100366,4.328412666828675
nano,166659,76,116584,4.22413343976032,4.346732286306528,4.328412666828675
nano,166659,77,118118,4.2245824983564475,4.35424717361405,4.328412666828675
nano,166659,78,119652,4.230336480687774,4.3551614383268635,4.328412666828675
nano,166659,79,121186,4.214038074094282,4.351604717017631,4.328412666828675
nano,166659,80,122720,4.218190568833183,4.334547646652312,4.328412666828675
nano,166659,81,124254,4.214705718076525,4.341633452466254,4.328412666828675
